candidate_id,rank,generator,generators,support_count,status,coarse_rank_score,shape_score_m,shape_occupancy_m,shape_outer_contour_m,shape_height_m,fitness,inlier_rmse,board_normal_angle_deg,board_plane_distance_m,object_trimmed_chamfer_m,object_overlap_at_15mm,matrix_file
s3_can_d48a903056bc,1,geometry,geometry,2,canonical,0.0033478618913292376,0.0033478618913290155,0.0008203442400751012,0.0033191360412159745,0.012352165846339441,,,0.0,2.220446049250313e-16,0.004809020350949669,0.8944444444444444,candidate_matrices/s3_can_d48a903056bc.txt
s3_can_aa37d81f0b9d,2,geometry,geometry,2,canonical,0.003366493777498023,0.003366493777497801,0.0007623442638753845,0.0033684822059664955,0.012470080718598434,,,0.0,2.220446049250313e-16,0.005158101814661769,0.8763888888888889,candidate_matrices/s3_can_aa37d81f0b9d.txt
s3_can_7521469186ce,3,geometry,geometry,1,canonical,0.0033837445334895526,0.0033837445334893306,0.0008080559019948016,0.003395690333265571,0.012332952844950855,,,0.0,2.220446049250313e-16,0.004907601186399661,0.8905555555555555,candidate_matrices/s3_can_7521469186ce.txt
s3_can_4540aea2bef1,4,geometry,geometry,1,canonical,0.0034104888417368015,0.0034104888417368015,0.0007622437409189616,0.0034569084996013064,0.01242403857634446,,,0.0,0.0,0.004910664786338912,0.8911111111111112,candidate_matrices/s3_can_4540aea2bef1.txt
s3_can_0f387d078636,5,geometry,geometry,2,canonical,0.0034352443587652238,0.0034352443587652238,0.0007644089105046911,0.0035043704818842215,0.0124029747505226,,,0.0,0.0,0.004912452345580785,0.8844444444444444,candidate_matrices/s3_can_0f387d078636.txt
